Algorithm,Accuracy_X10,Precision_X10,Recall_X10,F1 Score_X10,ROC-AUC score_X10,Execution Time (sec)_X10,Accuracy_X15,Precision_X15,Recall_X15,F1 Score_X15,ROC-AUC score_X15,Execution Time (sec)_X15,Accuracy_X_All,Precision_X_All,Recall_X_All,F1 Score_X_All,ROC-AUC score_X_All,Execution Time (sec)_X_All,Accuracy_X_Best6,Precision_X_Best6,Recall_X_Best6,F1 Score_X_Best6,ROC-AUC score_X_Best6,Execution Time (sec)_X_Best6
CatBoostClassifier,0.9163458577148137,0.9220191952750092,0.8826751479812704,0.9019183028661701,0.9125117569748749,28.63186,0.9395980905451186,0.9464285714285714,0.9130665253114233,0.9294482665587482,0.9365769277986468,30.91117,0.9432168155220203,0.9508977647489923,0.9170421415319374,0.933663143692377,0.9402362921618888,37.23682,0.901370495842316,0.9026947484594868,0.8671260712077039,0.8845529920692141,0.8974710658965448,28.14564
XGBClassifier,0.914882968894364,0.9212765957446809,0.8798480431133492,0.9000858601834696,0.910893524183406,27.31163,0.9387126578380043,0.9458245485379044,0.9115646258503401,0.9283786215583947,0.9356212977105969,100.74441,0.9417924237757931,0.9482585245452052,0.9164237123420796,0.9320693683170096,0.938903675779418,255.89364,0.9012550046196489,0.9011180351906158,0.8687163176959095,0.8846205748729252,0.8975498078893684,25.10084
RandomForestClassifier,0.9060671388974438,0.9076301533376182,0.8733103631062815,0.8901395767672219,0.9023371082775727,11.07003,0.936210348013551,0.9423182567295367,0.9092676031451542,0.9254979542286768,0.9331423640341995,10.46254,0.9408684939944564,0.9475706835026078,0.9149218128809966,0.9309600862998921,0.9379139322984501,14.60112,0.8987141977209732,0.8998527245949927,0.8636805371499249,0.8813956633458053,0.8947248970801135,5.42345
GradientBoostingClassifier,0.8990991684631968,0.9013473606496862,0.8628854139058221,0.8816971338298352,0.8949754899235053,9.61167,0.9215044656606098,0.9226635088358536,0.8948670377241806,0.9085527200968742,0.9184712482746578,12.46703,0.9212349861410533,0.9234633299844734,0.8932767912359749,0.9081192742949524,0.9180513723526534,17.22614,0.8922851863258392,0.8948197572050783,0.8530788938952204,0.8734509271822705,0.8878207459856126,5.85965
DecisionTreeClassifier,0.8829688943640284,0.8658418029164825,0.8655358247194982,0.8656887867809491,0.8809837819101347,0.44696,0.9132660917770249,0.899031690140845,0.9022881880024737,0.9006569954583535,0.9120160323242223,0.58632,0.9154604250076994,0.9022841520416263,0.9038784344906794,0.9030805896372143,0.9141415778921297,0.81819,0.8984447182014167,0.9014149634698974,0.8611184733633713,0.8808060726549792,0.8941943598310341,0.19408
XGBRFClassifier,0.8995996304280874,0.9017618300894752,0.8636805371499249,0.8823104693140795,0.8955095051172289,25.0265,0.9114182322143517,0.9057775377969762,0.8892128279883382,0.8974187508358967,0.9088896916089606,240.91798,0.9109947643979057,0.9058304046138596,0.8880643166357453,0.8968593861527481,0.9083836627185001,94.56185,0.8885124730520481,0.8954088817951366,0.8425655976676385,0.8681838871187982,0.8832804791231008,18.9675
AdaBoostClassifier,0.8716892516168772,0.8543663471778488,0.8505168301086669,0.8524372426617081,0.8692783372757976,3.15615,0.8926701570680629,0.8789871168369614,0.8740171393232617,0.8764950828386641,0.8905461285072336,3.66691,0.8954419464120726,0.8827978997953191,0.8764025090555703,0.8795885795353786,0.8932739160547006,5.56668,0.8658376963350786,0.847128677773839,0.8445092322643343,0.8458169269565987,0.8634090133485144,2.26044
Logistic Regression,0.851093316907915,0.8451774298156213,0.8059015814117855,0.8250723589001446,0.845947311139815,5.71607,0.8660686787804127,0.8647868974502141,0.8210089230497394,0.8423294810786314,0.860937701614929,6.58982,0.8679165383430859,0.8684603886397608,0.821273964131107,0.844208327657449,0.8626053248369256,4.82589,0.8350015398829689,0.8132739420935412,0.8065200106016432,0.8098828956706884,0.8317583337445686,3.31862
Linear SVC,0.8500923929781337,0.8437181742431257,0.8051064581676827,0.8239602169981917,0.8449698218381567,3.60866,0.865568216815522,0.8674302882358464,0.8162381835851223,0.8410559854346836,0.8599509809922611,5.95948,0.8671080997844164,0.8710499009527403,0.8157964484495097,0.8425182481751826,0.8612652161057673,8.13685,0.8326917154296274,0.8046840863409945,0.8134994257443237,0.8090677444864246,0.8305062797002986,2.52061
SGDClassifier,0.8539421004003696,0.9055729222809098,0.7422033748564361,0.8157894736842105,0.8412183552319978,0.38626,0.8699953803510934,0.9049561492963492,0.7839915186853962,0.8401420118343196,0.8602020771430666,0.45866,0.8673775793039729,0.8811967467079783,0.8040462938422122,0.8408555458031136,0.8601660138106468,0.51236,0.8367339082229751,0.809677983899195,0.8174750419648379,0.8135578318019959,0.8345408913856392,0.31061
